,index,title,description,price,details,parent_asin
0,44,"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",,,"{'Brand': 'Shiny Leaf', 'Scent': 'Almond Oil and Fractionated Coconut', 'Item Form': 'Oil', 'Unit Count': '32.00 Fl Oz', 'Number of Items': '2', 'Package Dimensions': '8.62 x 5.04 x 2.48 inches; 2.23 Pounds', 'UPC': '781584950669'}",B08LYT4Q2X
1,45,"Empty Brown Glass Spray Bottles2-Pack, Refillable 16 oz Containers for Essential Oils, Cleaning Products, Aromatherapy, Misting Plants, or Cooking - Reliable Sprayer with Mist and Stream Settings",,,"{'Brand': 'Cherry', 'Material': 'Glass', 'Capacity': '16 Ounces', 'Number of Items': '2', 'Product Care Instructions': 'Hand Wash Only', 'Package Dimensions': '9.09 x 6.46 x 3.35 inches; 4.94 Ounces', 'UPC': '791523234187'}",B089CSF11Y
2,109,JPNK 4PCS Anti-Static Detangling Fine & Wide Tooth Shower Comb Set,,,"{'Material': 'Plastic', 'Brand': 'JPNK', 'Hair Type': 'Wavy,Straight', 'Unit Count': '1.00 Count', 'Package Dimensions': '12 x 3.1 x 0.7 inches; 5.61 Ounces'}",B081ZN3TD5
3,268,"TULA Probiotic Skin Care Supersize 24-7 Moisture Hydrating Day & Night Cream | Holiday 2020, Ageless is the New Anti-Aging, Face Cream, Contains Watermelon Fruit and Blueberry Extract | 3.4 oz",,,"{'Brand': 'TULA', 'Scent': 'Watermelon', 'Item Form': 'Cream', 'Unit Count': '3.4 Ounce', 'Number of Items': '1', 'Package Dimensions': '5.43 x 5.16 x 3.43 inches; 3.4 Ounces', 'UPC': '850014698355'}",B08WF29DM9
4,421,"Claw Hair Clips, IKOCO 6 Pack Jaw Clips Stylish Matte Plastic Strong Hold Hair Clamps Box Packaged for Thin Fine Hair with 10Pcs Black Hair ties (2.4Inch)",,,"{'Brand': 'IKOCO', 'Hair Type': 'Fine', 'Color': 'Green,Grey', 'Age Range (Description)': 'Adult', 'Material': 'Plastic, Metal, Acrylic', 'Product Dimensions': '6.25 x 4.25 x 2 inches; 5.89 Ounces'}",B08HMLXW65
5,565,"Facial Kit For Women - Includes Facial Mask, Facial Makeup Wipes, Nose Strips, Facial Cleansers, Facial- Self Care Package For Women (Multivitamin Facial Kit)",,,"{'Brand': 'Golden Gift Box', 'Item Form': 'Wipes', 'Skin Type': 'All', 'Special Feature': 'Not Tested On Animals', 'Unit Count': '1.00 Count', 'Product Dimensions': '9 x 9 x 3 inches; 2.47 Pounds', 'UPC': '758176585684'}",B08BF4BKKM
6,682,100% PURE Coconut Body Scrub Exfoliating Deep Cleanse with Sea Salts & Nourishing Oils - Natural Deeply Moisturizing Skincare - Vibrant Radiant Skin Restore & Pore Cleanser - Vegan - 10oz,"Crystalline sea salt scrub smoothes while softening skin with rich, supple moisture. Suspended in a base of silky sunflower and apricot oils, this emollient sea salt scrub buffs away bumps and flakes to reveal glowing, rejuvenated skin.",38.0,"{'Brand': '100% PURE', 'Material Feature': 'Natural', 'Number of Items': '1', 'Scent': 'Coconut', 'Recommended Uses For Product': 'Exfoliating', 'Package Dimensions': '3.66 x 3.62 x 1.93 inches; 11.99 Ounces', 'UPC': '843585107999', 'Manufacturer': '100% PURE'}",B09KX5N1DR
7,728,"Reusable Shower Cap for Women – Leakproof, Nonslip Hair Cap for Shower w/ Comfy Flexiband – Soft, Breathable Shower Caps for Women Reusable Waterproof – Durable, Heavy Duty Shower Cap by SMPL OBJECTS (Marble)",,19.99,"{'Brand': 'SMPL objects', 'Material': 'Polyester', 'Age Range (Description)': 'Adult', 'Pattern': 'Marble', 'Number of Items': '1', 'Package Dimensions': '9.21 x 6.97 x 0.67 inches; 0.63 Ounces', 'Manufacturer': 'SMPL Objects', 'Country of Origin': 'China'}",B09GNXK3N1
8,1048,"Pippa Of London Magic Star Eyeshadow Powder Pencil, Long Lasting, Blendable Eye Make Up Stick",,20.0,"{'Color': 'Chalfont 303 – a shimmering shade of pearl', 'Brand': 'Pippa Of London', 'Item Form': 'Stick, Pencil, Powder', 'Finish Type': 'Shimmery', 'Special Feature': 'Not Tested On Animals', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '4.25 x 0.83 x 0.75 inches; 0.35 Ounces', 'Manufacturer': 'Pippa of London', 'Country of Origin': 'United Kingdom'}",B08JCX3DL7
9,1666,"5-Pack Hair Scalp scrubber Massager Shampoo Brush for Straight Curly Long Short Thick Thin Wet Dry Hair, Men Women Kids Scalp Care Hair Cleaning Shower, Scalp Care Brush,100% comfortable",,,"{'Material': 'Silicone', 'Brand': 'Teqifu', 'Color': 'Pink, Blue', 'Package Dimensions': '8.78 x 7.68 x 2.87 inches; 8.78 Ounces', 'UPC': '608571756465', 'Manufacturer': 'Teqifu'}",B08SQ31H8P
